,text
12,昨天我去乡下吃酒，在寨上我被狗咬了，我急忙赶到县城打了预防针，但晚上总是睡不着，总是担心得狂犬病，心慌慌的，结果我睡着后，梦见了老公的朋友开自己家的车横着停在马路中间，结果有两个骑摩托车的人直撞在我家车上断两半节，接着有医生来把那两个留着血的人送走，请问这个梦是什么意思？对我的身体有没有影响，或者家人有没有什么事？
13,和一个人山里像游戏中一样相互攻击，把对手打成骷髅头但其它身体部分正常的人，帮助自己的几个人也有受伤，最后不计前嫌帮骷髅头及帮助我的人“回血”，让骷髅头回人形，我提议去魔兽游戏中的生命之泉，却遇上各个部落争夺它，这是玉帝出现帮忙，后来又遇到佛祖帮忙佛祖说这时候要用金字佛印，就发给我们金字佛印。
14,开始有很多朋友在老家一块农地里一起吃东西感觉已经吃饱了，不知又换了一个场景与爱人一起吃东西，自己吃到问我爱人什么时候而且还不停吃感觉还能吃得下很多东西，爱人在用餐中又遇到一个人，他问我爱人什么时候把谁的钱换上，为什么把手机号码换掉？
15,梦见去世的弟弟和活着的弟弟，穿着崭新整洁的西服，里面的白色衬衣，也是新的，他们张口笑着，我看见他们的满口牙齿有好几排，占满了下部的口腔，牙齿看上去，很锋利的样子，并且十分洁白；还看见爱人的牙齿也是这样子，很白，但是是两排，排在下口腔的牙床上。
16,梦见我跟几个舅舅及家人在一起吃饭，这时外面来了一个年轻人送来很多汤园，说是我三舅派他送来的，（其实我三舅已死了几年了，但梦中他没死，而且过得很好，好象还是一个官员了，具体是什么官有些记不起来），汤园里面包着的是肉，请大师解梦，谢谢！
17,半夜我睡觉醒来，头疼很难入睡。再入睡后，梦到自己好像看到一只很漂亮的彩色的鸡飞在我窗前。我装睡中，看到那只鸡轻轻走进来在我桌子上走来走去。。我想偷偷下床把窗户关起来，叫它留下来陪我玩。但同时它好像听到其他动静，然后着急的从窗口逃了出去。
18,前天梦见家里地上有水。转换梦境又看到窗户一角的玻璃破了，风雨吹进来了，窗户旁边的东西湿了，地上有一只大黄猫。转换梦境自己在家里晾床单。昨天晚上梦见房里有一只小鸡一只小白兔一只小鸭，排着队向洗手间走去。转换梦境自己好像坐在了一只豪华大巴上               万分感谢大师解梦
19,老是梦见我嫁人了    嫁给不喜欢 或不情愿的人     哭的.....梦过好几次了第一次梦我妈让我嫁人了   我不想嫁   心里特难受     第二次梦见要嫁人了 特不愿意   昨晚直接梦见就是嫁人了  我不愿意   还要闹离婚
20,昨夜梦见已经病逝四年的奶奶 梦里的他好像还没有死透 但是也好像是死了没有埋葬 好像是僵尸那种她的样子是那种干干巴巴的 而且还说话 说她不想死 我们一家人都在那哭要去埋她 装进棺材但是没封盖 ， 然后他不肯死又准备把他拉回家
21,梦见医生坐在一起谈天，他们围坐在一起，并且我和他们一起谈天，其中有一位医生自己给自己扎针，有十几根针扎在他自己的手上，我并且和他们非常高兴的开玩笑，还给他们抽烟，这个梦做了老长时间，特别是醒来后，并且还记得很清楚。
22,先梦见把三条黑色的蛇剥了皮，发现蛇的头上有几个字，可记不清楚是什么字了，在准备拿去卖的时候有人建议我把蛇皮和对应的蛇身放在一起不要搞混淆了，在没有卖出去的情况下我又让三条黑色的蛇复活了，最后又梦见一只母鸡下了一个蛋，我就把蛋捡起来了，其余的梦境就有些记不清楚了。
23,昨晚梦见洗完澡我看见自已的浴巾起了趋，就用手去拨弄，结果随便一弄就一个大洞，心想是不是用久了坏了……不知是福是祸？昨晚梦见洗完澡我看见自已的浴巾起了趋，就用手去拨弄，结果随便一弄就一个大洞，心想是不是用久了坏了……不知是福是祸？
24,拿成绩报告单的那一天，我走到了二楼弟弟的教室，好像没看见他，就走到了三楼妹妹的教室，跟她说：放学了之后去我们班教室等我。说完之后，我就走了，可一直找不到教室，我们班在五楼，突然，我妹妹的同学：陈小雪，他和我妹妹走过来，不知道怎么回事，有一个老婆婆鬼一直在追我们，我之前做梦的时候，自己总是感觉跑得很快、很高，可这次却很慢。......（中间部分忘记了） 我和妹妹、姐姐、弟弟一起到我的教室，不知怎么了，教室突然变成了女厕所，可是东西还在，我就拿了东西准备走。突然，那个老婆婆鬼又来了，还双手弄着我的脖子，站在我的头那边，拧我的右耳朵，我感觉是非常非常的疼。......（最后的也忘记了）之前有人说，学校厕所有鬼
25,我把现实环境和梦境都讲一下：现实环境：我是女生，虚岁17，属鼠，1996年11月4日，农历九月二十四。我在护士学校上学，学校只有三十多个男生，我们班一个男生都没有，同性恋女生也有很多。之前我什么也不懂，来到这个学校有一年半了，懂的越来越多，同性恋方面的事也懂的越来越多。学校还有追过我的女生，我都拒绝了，因为我喜欢男生，不过后来渐渐的，我越来越关注同性恋方面的事，我们学校有帅哥，但是我也不花痴了，甚至觉得讨厌，不过我们学校帅帅的女生我越来越关注，其中有两个（一会儿梦里有她们），一个叫王曦（同性恋T），我开始关注她的举动，是不是的偷拍。另一个叫文静（不清楚她是不是同性恋），长得挺文静，也帅帅的，我之前喜欢学校一个男生，但是我越发越觉得我接触男生会不好意思紧张，说不出话，后来我们也不再联系，见面也不说话，也得知他再追文静，后来他俩在一起3天就分了，传言说文静闲那个男生太烦，后来我开始关注着文静，王曦和文静一起关注。我渐渐对同性恋不那么排斥了，具体说我也从没排斥过，只是怕同学说我，我才给他们说我很排斥同性恋。对于同性恋，面对这个话题，我真的不知道我是不是，我也在网上找一些测试，看一些同性恋视频和电影，搜寻更多关于同性恋的信息。面对男生我只是怕和紧张，不敢对视，除了审一下美，就认为没有特别的地方，相反，女生的话，我会观察这个是女生长得这么帅是不是同性恋什么什么的，就是只要男生帅就觉得没什么吸引人的地方，女生帅就觉得真的好帅处处都好吸引人。就是这样，我真的不知道是不是环境因素让我变成这样，我不知道我是不是同性恋，不知道我喜欢男生还是女生。直到昨晚，我梦见这样一个梦....梦境：我直接梦见我和文静相拥，她靠着墙，个字比我高一些，她的头在我左侧，她紧抱着我，我也紧抱着她，好像谁都舍不得离开谁一样，只想身体不离，越紧越好....她靠的墙是两个班之间的分隔墙，大概50厘米宽，我抱着文静所以我是面对墙的，我的左边是我们班的前门，右边是王曦她们班的后门，我隐隐约约看到王曦坐在座位上，梦里的我当时想她会不会看见我，于是余光看见她看了我一眼，她从前门出去了。后来我还是和文静相拥着，我当时在想，这样的关系是什么，我要不要继续这样的关系，同学老师家人会怎么看，想了想，我便问文静我们的关系是什么，她不继续紧抱我了，把我慢慢的从开，双手搭在我肩膀上，和我对视了很久，我感受到了她目光的真诚与恐慌，她开口说是情人关系，于是继续相拥，我们互相紧抱，我当时心想，我们在一起了。后来老师来了，老师在我们旁边说了些什么，我给忘记了，我只知道不是凶我们的话，文静没听见，后来上课了，我给文静说，上课了，去上课吧。我慢悠悠的走进教室，有几个眼睛盯着我，但是我看不清是谁。后来我就醒来了....请问这是什么梦？意味着什么？有什么示意吗？求解！！！！详细的解！！！！越详细越好，拜托了！！！！
26,梦见在漆黑的夜晚深夜里，大伙不知因为什么突然醒来，大伙在房间里因为一件事情互相正在争论什么（记不清了），争论中突然出现一只黑猫眼睛崭亮并发光死死的盯着我们，大伙一起将他赶走但他就是不走后来将他抱出门外将门关上，但他又回来了怎么赶也赶不走。好像还张嘴说些什么。
27,梦见自己的左脸变形了，从左侧的中间有个缝，好象凹进去一块，皮很松，用左手伸进去触摸，感觉里边也有一层皮，牙床部位有点鼓，皮松，没有疼痛赶，在梦里想是不是得病了，是不是脑袋长了东西。很丑陋，好像左侧像双层脸皮一样，但外表看和原来一样
28,梦见阴冷的深夜自己因为父母不在家而我自己也没带钥匙，所以去现实中还活着的同性朋友家里住（我是女的，现实中我根本没去过她家）。    她是我现在高中班上的正班长，她不是那种柔弱的女生，她是着装打扮比较中性，性格和外貌都有点偏男性的短发女生，我高约一米五，她长得比我高一点。她学习很好，是拼命学习的那种学生，她也承认学习很难也很累，有时她有一种快要死了的感觉，但一直都死撑着。现实里我很喜欢她这个班长，因为她成绩好、人好，而且和我一样也是O型血天蝎座，尽管事实上她和我交集并不多，我也没怎么和她说过话。   梦里我很开心地去我这个朋友的家。然后她让我坐在客厅长椅上休息，这是一个用钢铁做骨架、垫着有点硬的棉的长椅，说实在的，坐着这长椅并不舒服。当时她站在墙边微微低着头，我只能看到她的侧面，而她刘海的阴影导致我看不清她的眼神和表情。我环顾四周，发现她家里物品和摆设的颜色都是冷色系，只有黑、白、灰三种，而且只有客厅的那盏昏暗的灯亮着，我察觉到这里散发着一丝阴凉的气息。她告诉我，说她自己想要回家。我就觉得奇怪，我心想难道这里不是她的家吗？   接着我想到自己父母是否在家，就用和现实中一模一样的黑手机给我父母打电话，结果不是不通就是已关机。   然后我又看向她，只见她走过来站在我面前背对着我，低声说她想要回家，现在就回家。我觉得不对劲，就坐在长椅上伸手抱住她，没有站起来，接着问她到底怎么了、还好吗。她低声说了一两句话，大概是关于她自己的感觉和想法的，但因为声音很小，我也听得不太清楚。   她背对着我，她不再说话了，忽然有什么液体滴在地上的声音，然后是扑哧一声，好像是什么液体突然迸出的声音，似乎有更多的液体流到地上。我低头一看，竟然是一滩殷红的鲜血，鲜血在黑、白、灰背景的衬托下显得格外刺眼。   我被这个景象震惊了，就赶紧站起来抱紧了她，我叫她的名字，甚至连名带姓的叫她也不再听到她的回应（平常我叫她名字不带姓）。梦中我的直觉告诉我，她自杀了。但我不知道她是为什么要自杀，也不知道背对着我的她是怎么自杀的。   我喃了喃她的名字，接着我沉默了，我轻轻地松开抱着她的手，让她倒在长椅上。但我从来没有看见过她的正面，她一直背对着我。我悲伤地望着她的短发和背脊，看着她略微翘起的短发，我不由得想起了日本动画《银魂》中男主角坂田银时的身影（坂田银时是我最喜欢的动漫角色）。我默然又悲伤地站了一会儿，便转身向门口悄无声息地走去，打开门，我的动作停了一下，我没有关她家的灯，最终我决然地关上门，离开了她家。   出来已经是脚踏着大地，到了街边，我抬头望天，只见一片漆黑，没有月亮也没有星星，阵阵冷风从我身边吹过。我倒吸了一口冷气，她自杀的情景又在我脑海浮现……   梦里印象中，她是在高一下学期开学前的几天自杀的。   开学了，班上的同学们集资在学校里建了一所约9平方米的小房子，房子内的墙壁上刻有黑色的全班同学的名字，其中她的名字被刻在墙壁的中央，她的名字比别人的名字大一些。我也看到了我的名字。班上所有的同学也依次进入这个小房子，表示对她的悼念，每个同学都沉默着，表情庄重而严肃。   我又想起了她临别时的情景，心中溢满了悲戚哀伤。走出了那间小房子，我回头又望了一眼那小房子，只见其他同学还在那里进进出出。我满心哀伤地离开了那里。   不知这个梦是什么情况、意味着什么，我第一次梦见现在的同班同学自杀。她是一个值得我仰慕的人。
29,昨晚梦见老家房子和妹妹家房子被风吹倒塌了，我现在是未婚恋爱中，老家的房子父母哥哥嫂子们在住，妹妹家的房子是两层，他家是妹妹妹夫住、二层被风吹倒，还看到山上的石头塌下来把路都给堵了，请问这是怎么回事啊？
30,连续2天做梦，前面的梦境都不同，直到最后的场景都是在漆黑的夜空里看满天璀璨的星星，非常非常的密集，同时月亮也异常明亮。最主要的是在满天繁星中，靠近月亮的3颗星星排列成“勾”的样子，他们特别的明亮，后来就醒来了。我从来不迷信星座，只是2天做了同一个梦，而且那个总觉得那个星座是有意义的，所以一直为其困扰，特烦扰大家帮忙解答。感激不尽！
31,我梦到自消沟里漂着很多死尸大人小孩都有，我顺着消流的方向走，梦到臭水带着死尸流进了苹果园，我很怕就去找男朋友。找到男有友之后我因害怕全身发抖希望男朋友能给一个拥抱，男朋友却说我跟多人暧昧要求分手，还拿调了我的通话记录给我看，然后转身就走了，梦里我很伤心，这时候我的异性朋友出现了抱着我说不要哭不要怕那种人不值得我哭。这是怎么回事？现实中我没有跟谁暧昧，我也爱我的男朋友，但男朋友对我不理不采的我心里很怕！求解释
32,今早快醒之前梦见一条蓝色鲤鱼在我老家门口的地上不断板来板去，不断的张着口，那是颜色在鱼身上是从未见过的，想陡手捉鱼，但感觉鱼身上的刺好厉害，就跑到自来水管处接水准备装上鱼，但鱼快要被渴死似的，在我好不容易准备好了的时候，却发现不知是谁把它捉到了最近的一个有水空缸里。但是对此鱼我心喜不过，就用一容器装回家放家里喝水的水缸里了。
33,梦到捡到新红色鞋子 和很多新袜子 11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222222222222222222
34,梦见奶奶来我的诊所看电视，说不出话.我是家里最小的，结婚时奶奶就身体不好，从没来过我家，更没来过我的诊所，我本想给她镶牙的，我是牙医，因为奶奶身体不好，没法起来，就没弄成，也是我的遗憾，有个牙医孙女却没有沾上光！我的诊所正好电视坏了，这两天没有电视，梦里她就拿遥控器是要看电视，我不知怎么办了，跑回家找妈妈，把妈妈和二嫂叫来，然后就醒了！可能因为她穿的是送老的那种衣服，我还在想不是火化了吗，怎么来了，就惊醒了！求大师解答！
35,我们去一个地方，见地下冒出阵阵青烟，感觉很恐怖，于是来了很多人开始挖掘，先挖出一副棺材，当大家起出棺材时底下竟然还连着一副小棺材，再看周围时，好像好多地方也在冒青烟，于是大家接着挖掘，发现好像周围还有好多棺材，我吓得不行，不敢近前，不等挖出棺材，我就惊醒了，感觉身上没有劲
36,梦境中梦到自己进入培训机构成为老师，想要拿那放在碗中的、凝结着学生父母们血汗和哀怨的、用血色的红和哀怨的紫染成或是缔结的钱时，不免心存鬼魅，大道哲学的修行让我必须净欲甚至是禁欲，于是在梦境中，我控制自己化身一道金光撞碎窗户，弃利（钱和自己未来的职位）而逃，不料落入一家琴行学习古筝成为学生想要学琴，却看到教琴的人是自己大学认识的同学，但是这个同学演奏的不是古筝，可是古筝的主人却不在，看到美女同学身体有紫色怨气缠身，同学长发散落突然变成九尾妖狐，看到面相狐媚有妖邪之气，我借助大道哲学给我的能力一招化了她俩，不料此时险象迭声，危机四伏，十面埋伏，四面楚歌，一位高人突然出现，身着黑衣，拿出白色手绢，上面有血字劫，蓝字灾，青字坎，褐字难。大声说道：你人生之中，25岁会面临劫难，若你能在24岁拜访一位高人，得其教诲，就可以免除此劫。我问道：何难？对之曰：血字劫，水字灾，情字坎，空字难，说罢高人消失不见，梦惊醒。我脱口而出：二十有三尚代业，外出漂泊两年成；二十有四得贵人，高人指点需谨记；二十有五命劫见，劫灾坎难需小心；二十有六谈婚嫁，（这一句说不出来了，无法得知未来是和谁在一起）。夜晚梦境里面的人就看到了；晚上同班同学叫我去培训机构学习Java，第二天去错地方，结果从培训机构试听了几节课程就逃离；一周后，高中同学蒋姐要表演，到市里去借古筝，我就叫她带人前去，防止危险；临考试前，去了南京，被培训机构的HR忽悠，报了名期望被留下，进入秘密小屋子，和项目经理对抗过招，预计自己如果留下来可能会成为培训机构老师
37,梦见在塑料盆中洗脚，一会不知怎的若干肉色的小蚂蟥从脚劲处往小腿上爬，边爬边吸血边长大，用手抓都抓不下，吓的我边喊边叫的往外跑，叫爱人给我找杀虫药，后来自己在门外的墙上找到灭害灵喷上后死了一些，有些已经变成蛹了，已杀不死了，醒了。  邮箱：248390195
38,"梦见逝去是婆婆回家坐在床上与家人聊天，然后下床蹲下走了，消失了,我和大姑姐出门去追，大姑姐伏在我的背上痛哭，昏了过去，我大声呼叫让别人来救，这是从院子里走出了妹妹的孩子来帮我一起抬大姑姐，我们好像在沙漠里......."
39,凌晨7点左右做梦，我的奥迪（A6L2.4，黑色)车开出去办事。停车后别人发现的左后车门没了，像是拆掉的样子，里面一览无余。好像门框处齐整的露出原车的海绵。车是2006年的，一直是我自己在用。后来，梦见去加油站加油，明明停车时没别的车，可是下来发现一辆桑塔纳紧挨着我的加油孔，差点刮了。又发现车头有一辆别的越野车，使自己想开出去都不行。这些都是停车时没有的啊？
40,"我和妈妈好像要去一个地方,途径一个有好几处水池有一事鳄鱼池我和妈妈闯过来了,又过一个大蟒蛇池,妈妈好像会降服大蟒蛇,抓着一条大蟒蛇的头部,那条很老实了,我让妈妈快走时被一条大蟒蛇咬住右大腿,妈妈教我怎么抓我不敢,这时妈妈走到我身边来抓咬我的蟒蛇,手刚抓到蛇身,我就吓醒了.看看时间凌晨4点20左右."
41,梦见和我喜欢的人在一起开着宝马车，她还像情侣一样抚摸着我的脸，刚开出一个大门洞，被一小女孩开着白色摩托车撞了，我下车要看看撞的怎么样，然后骑摩托车的小女孩，绕过旁边的一个人还是车忘了，就跑了，先是顺着行车道跑！这是我说换我开追上骑摩托逃跑的人，让我喜欢的人去副驾驶，我刚上车，那个骑摩托车的就跑到隔离带道对面继续逃跑，这时我已经开上车了，直接逆行要追，刚起车就醒了！
42,梦见和我喜欢的人在一起开着宝马车，她还像情侣一样抚摸着我的脸，刚开出一个大门洞，被一小女孩开着白色摩托车撞了，我下车要看看撞的怎么样，然后骑摩托车的小女孩，绕过旁边的一个人还是车忘了，就跑了，先是顺着行车道跑！这是我说换我开追上骑摩托逃跑的人，让我喜欢的人去副驾驶，我刚上车，那个骑摩托车的就跑到隔离带道对面继续逃跑，这时我已经开上车了，直接逆行要追，刚起车就醒了！
43,梦到两条很大的蛇，从天上冲到海水里面，眼睛很大像月亮，然后又是到了岸上很多小蛇，没有水在挣扎，好像这条蛇就是自己，在水里游的时候很多人游过来了，自己确害怕不敢去咬人，爬到岸上没有水挣扎着另外一条蛇救。另外一条蛇从旁边的一条水渠里游过来带我去有水的地方、整个梦境都是在晚上，但是有月光般的光线很亮，水是黑色的，蛇也是黑色的，没有觉得很害怕
44,昨晚，梦里好像是在一个小岛，其中一个女的问，她在哪里？为什么会在萝卜州（一个岛名）上。我往水面看，发现有人掉在水里了，有很多人，不知道有多少人。我和另一个男人一起去救落水的人，到了最后，有一个沉得太深了，没有办法救上来。但是救上来的好像全部都死了。那些人我都不认识的。然后我在旁边哭得很伤心，好像在真实中也有流泪了。前几天也是做梦，自己在梦里面哭得很伤心，但是没有原因，就是很伤心，拼命的哭，醒来感觉枕头都有些湿了。
45,我跟老公在路口把地摊收摊时碰见边上门头找事老公生气不管让他家给我们收桌子我跟别人说自己不能弯腰他们说叫你老公会回来收老公回头过来了一句话没说上来就跟别人打架把别人头踢了个洞血流不止老公这是第一次打人自己走了我陪着人家去医院看了一半我出来接老公告诉他自己在哪接着梦见忽然刮起大风落地窗帘卷着凳子把玻璃打碎自己害怕这是来个业务员很没礼貌的跟自己说话自己生气跟陌生业务员吵架接着自己被吓醒
46,爸爸和妈妈已经离婚了很多年，爸爸43岁了，，也正和一个和他年龄相当的女人谈恋爱。但是我梦到，一个和我差不多大的女孩和他一家人都来我家，那个和我差不多大的女孩就是我爸爸的相亲对象，趁那女孩上厕所时，我就跟过去，然后把厕所门反锁，在测所里狠狠揍了她一顿。然后那女孩一家就带着那女孩很生气的走了。。。。然后我就醒了
47,是在上班的时间。梦见同事送我手表 ，是修好的那种，旧的，在上楼梯时遇到的，我们都是男性，是当老师的，时间好像是上午，与我同行的还有别人。楼梯中上上下下的人很多。同事是修理高手，手表较小，是黄色的，心里有点高兴，但不好马上收，最后还是收了，同事比我大几岁
48,是不是什么意思想政治工作人员梦见我爬一个很高的竹杆上捉上面鸟窝里的蛋可是蛋却了两个蛋却变成了一大一小的两个小鹰为了小鹰长大了不凶恶我给它们的脖子上放血可是小鹰却死了大的鹰脖子上全是血没有死
49,梦见那么一堆黄瓜，我在里面捡了两根.超市那么多人他们都不让我捡了啊说你看黄瓜不新鲜，挑两根就行了不要要那么多了于是我就捡了两根，这两根也不是太新鲜啊不过最后还是被我拿走了啊梦见的人都是以前的同事有男的也有女的人还是真不少啊
50,当晚做了三个梦  第一个梦最清晰 看到前方一棵树 树上开满花 刚看到时是花骨朵 瞬间含苞待放 很是漂亮  忽然有只小鸟飞到我的耳边 它叫了两声就飞到那开满花的树上 我看到树上有个鸟巢 鸟巢的上边还有只小鸟  我这才看清楚  很感慨的说这不是喜鹊吗  好久没看到喜鹊了  还是很小的时候看过          第二个梦是在我打工的地方有一桶水 不小心把脏水弄进去一点点 老板有些生气说 都不要了 我说别啊 多可惜啊 留着拖地吧         第三个梦看到干树枝我捡了点 又看到湿树枝我又捡了点       谢谢帮我解答
51,梦见回老家， 家里的门上的锁没有锁上， 我正想锁时， 一只白色的鸡像我追来， 我大声喊我叔叔求救， 但他没有听见， 我就迅速逃跑， 那只鸡追我到屋后， 我找东西自卫， 只找到一个很小的扫把来自卫， 那只鸡直朝我冲过来， 我怕极了， 吓得大喊一声就醒了。
52,梦见一扇红色的大门，这扇大门是在一个石头的房子上的，梦开始是关闭的，上面贴有黄色封条上且上面有字，我想看清楚上面的字但是看不清楚，而后我就自己进入了这扇门（不是我自己开的门，也不知道怎么就进来了），进来以后看到了又是一扇相同的红色大门，单上面没有封条了，然后我就醒了，感觉就是古代城墙上的2扇门一样，进入了一扇还有另外一扇，何解啊？
53,梦见和我多年不往来的叔伯五姨，我问他干什么去，他说要改改祖坟，选东西去，我们就去选了盒装的寿衣，金黄色带绣花的，这个盒好几层，什么东西都有，好像就是改祖坟用的，我五姨说买最好的。我一开始不许想买最好的，听我五姨说买最好的，我说我也买一套最好的。
54,好像熟悉，又好像不认识的老人，寻求我的帮助，我把她抱进养老院，登记，安顿，养老院很豪华，分好几个等级，每个老人有一套房子她被安排在好的房子里，雕花门，厅堂有很多盛放的鲜花，她要我给她做陪护，说给我钱，她有很多钱
55,梦见和朋友一起开车出去，所走之路都是土路，并且都比较窄，路两边都是河水，路上还有两座桥，通过第一座桥后，马上到达第二座桥，没有过桥，觉得过桥后路会更难走，于是返回，返回到第一道桥前，发现桥上停了一辆车，挡住了去路，我想刹车，可是突然发现刹车不灵了，眼看就刹不住车，只有硬过去了，可是硬过会有危险，被吓醒了
56,梦见修路，好多桥梁附近都有石头可以用，要拆除两家院墙，后来在一处填方处，别人却挖去好多石头去修自己的路，但对我方影响不大，对方说挖取的坑中发现金子，我到现场一看，先拾起小小的金片，后来又发现好多稍大的古老的金币，后来捡了好几个，后来旁边发现许多珠宝，又发现许多衣服，拿了一件衣服想把捡到的珠宝串包起来，打开后衣服里面用珠子串成好多，把发现的珠宝裹在衣服里面了，准备藏起来，让别人也去捡珠子，但他们捡了不多，对这些珠宝也爱理不理的，我就把捡到的珠宝及取到的里面带珠宝的衣服卷起来裹好，一起准备藏起来，怕被别人发现，然后就醒了
57,梦见和朋友去宾馆一进去，进去看见看见不舒服，就想走，老板不让我们走，就一直来抓我们。后面还有很多男的一起来抓我们威胁我们当小姐    然后我们就一直跑一直跑 一直叫救命  而且途中在做梦的时候我被朋友叫醒了的  但是居然接着住完了这个梦
58,具体忘了，只记得左边下边的大牙先后掉了两颗，一颗大的，一颗小的，但是没有血，也不痛。只记得左边下边的大牙先后掉了两颗，一颗大的，一颗小的，但是没有血，也不痛。只记得左边下边的大牙先后掉了两颗，一颗大的，一颗小的，但是没有血，也不痛。
59,"梦见办公室很脏,因办公室有调整,调整后很办公室很乱,很脏就叫同事们一起做做卫生,首先自己先干起来了,先是把不要的东西拿走,把地扫干净,再用拖布拖地,再用查布查桌子,把办公室打扫得很干净整洁,同事们也慢慢再来干,不过还未做完卫生就醒了.请问是怎么回事"
